city,district,neighborhood,room,livingroom,area,age,floor,price
ankara,cankaya,kavaklidere,2,1,80,35,1,25000
izmir,karabaglar,karabaglar,2,1,95,25,3,16000
manisa,salihli,kocacesme,2,1,90,0,4,20000
tekirdag,suleymanpasa,cinarli,2,1,85,28,3,15000
ankara,cankaya,on_cebeci,3,1,120,30,0,20000
izmir,cigli,atasehir,2,1,65,14,0,21500
mersin,silifke,tasucu,2,1,90,15,5,18000
manisa,salihli,kocacesme,2,1,90,0,3,20000
istanbul,kagithane,ortabayir,2,1,90,25,4,25000
sakarya,serdivan,bahcelievler,1,1,65,5,2,17000
ankara,golbasi,kizilcasar,1,1,55,4,6,34000
eskisehir,tepebasi,hayriye,1,1,55,15,1,12000
manisa,salihli,sehitler,2,1,100,0,2,20000
sakarya,adapazari,tepekum,3,1,140,27,3,14250
istanbul,kagithane,caglayan,1,1,55,4,4,35000
istanbul,sultanbeyli,hamidiye,3,1,125,3,1,22500
hatay,dortyol,ocakli,3,1,180,10,6,25000
tekirdag,suleymanpasa,hurriyet,3,1,145,12,1,40000
amasya,merkez,kirazlidere,3,1,130,25,2,17000
istanbul,maltepe,kucukyali,2,1,85,31,2,35000
izmir,buca,menderes,1,1,55,2,2,18000
ankara,kecioren,yukseltepe,3,1,135,9,6,25000
antalya,alanya,oba,1,1,60,2,2,33000
konya,selcuklu,seker,4,1,215,15,7,36500
ankara,kecioren,etlik,3,1,110,26,2,26500
istanbul,sariyer,istinye,3,1,130,25,2,40000
denizli,pamukkale,mehmetcik,3,1,140,20,0,13000
bolu,merkez,borazanlar,1,1,55,5,3,15000
kayseri,melikgazi,tinaztepe,3,1,145,10,5,12000
ankara,yenimahalle,ergenekon,2,1,95,15,1,18000
karabuk,merkez,100_yil,1,1,52,6,2,7000
canakkale,merkez,kemalpasa,1,1,55,0,2,20000
sinop,merkez,gelincik,2,1,90,15,3,25000
kutahya,tavsanli,durak,1,1,60,6,1,15000
mersin,tarsus,sehitishak,3,1,120,1,-2,20000
tekirdag,suleymanpasa,degirmenalti,3,1,160,20,3,45000
ankara,yenimahalle,gazi,2,1,100,35,1,25000
adana,seyhan,gazipasa,3,1,130,25,2,13000
giresun,merkez,erikliman,3,1,125,15,2,19000
ankara,cankaya,camlitepe,2,1,70,35,1,25000
istanbul,sancaktepe,yunus_emre,2,1,75,6,2,25000
adana,seyhan,gurselpasa,3,1,130,8,1,35000
manisa,salihli,sehitler,2,1,100,0,1,20000
manisa,salihli,sehitler,2,1,100,0,1,20000
adana,cukurova,guzelyali,3,1,175,21,4,32000
aydin,efeler,ata,2,1,125,5,1,25500
antalya,alanya,mahmutlar,2,1,100,0,8,20000
izmir,buca,belenbasi,2,1,70,1,0,26000
sakarya,sapanca,memnuniye,3,1,160,25,3,22500
denizli,merkezefendi,bahcelievler,2,1,95,19,2,13000
karabuk,merkez,kayabasi,2,1,110,20,3,12000
hatay,iskenderun,kurtulus,2,1,100,20,4,14500
aydin,efeler,yedi_eylul,2,1,90,0,1,19500
ankara,polatli,zafer,3,1,135,13,1,15000
ankara,cankaya,sehit_cevdet_ozdemir,1,1,50,10,0,25000
istanbul,eyupsultan,rami_yeni,1,1,65,8,-1,24500
istanbul,besiktas,yildiz,3,1,120,45,3,55000
ankara,cankaya,cebeci,3,1,130,25,-1,35000
canakkale,merkez,barbaros,1,1,55,15,1,18000
tokat,merkez,esentepe,3,1,135,20,5,18500
izmir,karabaglar,uckuyular,3,1,130,25,2,45000
istanbul,esenyurt,mehtercesme,2,1,100,11,3,15500
ankara,cankaya,tinaztepe,2,1,74,0,1,36000
ankara,yenimahalle,emniyet,3,1,85,40,0,22000
afyonkarahisar,merkez,selcuklu,1,1,65,8,3,16000
ankara,kecioren,karargahtepe,3,1,110,26,3,16000
istanbul,bakirkoy,atakoy_7_8_9_10_kisim,2,1,112,31,4,55000
istanbul,esenyurt,inonu,3,1,120,9,2,16000
istanbul,silivri,selimpasa,3,1,125,0,1,30000
ankara,altindag,hacettepe,2,1,110,1,4,41000
denizli,merkezefendi,gumuscay,2,1,120,15,0,16000
izmir,menemen,29_ekim,1,1,55,0,4,21000
manisa,salihli,gunes,2,1,90,25,1,13000
ankara,etimesgut,yesilova,2,1,95,5,8,25000
istanbul,esenler,davutpasa,2,1,80,31,1,15000
istanbul,besiktas,yildiz,2,1,60,45,-1,36500
canakkale,merkez,barbaros,1,1,60,12,2,20000
izmir,konak,guzelyali,3,1,140,26,-1,28500
tokat,merkez,karsiyaka,3,1,145,25,3,20000
ankara,cankaya,asagi_ovecler,2,1,110,25,1,28000
denizli,merkezefendi,bahcelievler,2,1,115,18,2,18000
ankara,yenimahalle,emniyet,4,1,140,15,0,32000
ankara,cankaya,metin_oktay,3,1,125,35,3,21000
ankara,cankaya,asagi_ovecler,3,1,110,30,2,26000
ankara,yenimahalle,emniyet,3,1,110,40,0,23000
antalya,alanya,mahmutlar,2,1,100,1,4,25000
istanbul,esenler,birlik,2,1,85,30,0,22000
canakkale,merkez,barbaros,1,1,60,8,3,19500
manisa,salihli,gunes,2,1,115,25,2,15000
ankara,polatli,sentepe,2,1,100,20,1,8500
manisa,saruhanli,cumhuriyet,1,1,43,0,2,12000
karabuk,merkez,100_yil,3,1,125,15,1,16500
sinop,merkez,incedayi,1,1,125,19,2,25000
burdur,merkez,bahcelievler,1,1,55,4,3,12500
izmir,balcova,fevzi_cakmak,2,1,110,28,1,30000
ankara,yenimahalle,emniyet,3,1,90,30,1,35000
ankara,cankaya,kavaklidere,3,1,115,55,1,26000
adana,cukurova,beyazevler,1,1,40,20,1,9000
izmir,buca,kurucesme,1,1,52,1,2,17000
ankara,yenimahalle,gazi,2,1,65,13,0,20000
ankara,yenimahalle,emniyet,3,1,120,20,1,30000
ankara,cankaya,guzeltepe,3,1,125,35,1,35000
kocaeli,kartepe,fatih_sultan_mehmet,2,1,175,2,2,26000
kayseri,kocasinan,erkilet,4,1,200,0,0,45000
istanbul,fatih,haseki_sultan,2,1,80,45,3,18000
adana,cukurova,sambayadi,2,1,120,0,7,17000
ankara,cankaya,ayranci,3,1,130,30,4,35000
tekirdag,suleymanpasa,cinarli,2,1,100,20,1,13500
balikesir,bandirma,17_eylul,1,1,55,5,3,18000
zonguldak,merkez,incivez,1,1,60,0,6,16000
kayseri,melikgazi,yildirim_beyazit,3,1,150,4,4,20000
ankara,cankaya,sokullu_mehmet_pasa,3,1,115,28,3,27500
mugla,mentese,orhaniye,3,1,130,25,2,35000
kocaeli,korfez,mimar_sinan,1,1,79,8,5,28500
ankara,yenimahalle,mehmet_akif_ersoy,2,1,90,10,4,34000
istanbul,umraniye,cakmak,1,1,65,5,2,30000
yozgat,merkez,mehmet_hulusi_efendi,2,1,100,11,6,10000
sinop,merkez,gelincik,2,1,110,15,3,20000
istanbul,beylikduzu,adnan_kahveci,2,1,95,12,1,23500
istanbul,fatih,ayvansaray,3,1,140,7,2,43000
samsun,atakum,buyukoyumca,1,1,55,0,2,13500
istanbul,maltepe,idealtepe,2,1,75,5,2,52500
ankara,kecioren,ovacik,4,1,210,4,7,57000
izmir,konak,guzelyali,3,1,165,5,5,45000
samsun,atakum,korfez,1,1,55,0,2,13000
bursa,osmangazi,yunuseli,2,1,110,9,3,25000
ankara,cankaya,100_yil,3,1,170,45,1,30000
istanbul,bagcilar,yavuz_selim,3,1,90,40,5,25000
adana,saricam,carkipare,2,1,98,5,0,15000
mersin,tarsus,altaylilar,4,1,170,0,1,25000
kocaeli,izmit,m_alipasa,4,1,220,26,3,26000
mersin,mezitli,akdeniz,2,1,115,2,4,25000
ankara,cankaya,ayranci,3,1,125,40,3,35000
mersin,tarsus,ataturk,4,1,170,4,3,26000
adana,seyhan,mithatpasa,3,1,130,30,4,24500
diyarbakir,baglar,bagcilar,4,1,190,10,1,32000
hatay,antakya,karaali,3,1,115,1,1,12000
mugla,marmaris,cetibeli,2,1,120,4,2,38000
antalya,alanya,mahmutlar,1,1,45,5,2,18000
kayseri,kocasinan,turgut_reis,3,1,164,25,3,15000
aydin,soke,yenikent,1,1,45,5,4,15000
istanbul,eyupsultan,aksemsettin,3,1,124,22,1,26500
bolu,merkez,karakoy,3,1,142,10,3,17500
adana,saricam,gultepe,1,1,75,2,2,15000
yozgat,merkez,seyh_osman,3,1,135,7,1,16000
aydin,kusadasi,degirmendere,2,1,106,3,3,40000
samsun,ilkadim,ciftlik,3,1,125,25,1,14000
istanbul,uskudar,mehmet_akif_ersoy,2,1,80,0,0,55000
ankara,kecioren,adnan_menderes,3,1,125,25,2,27000
ankara,yenimahalle,esentepe,3,1,100,17,3,28500
ankara,cankaya,oguzlar,3,1,125,30,1,34000
izmir,buca,kurucesme,2,1,90,10,1,25000
ankara,altindag,baraj,3,1,160,4,3,30000
